name;rating;damage_round;headshots;headshot_percent;aces;clutches;flawless;first_bloods;assists;kd_ratio;kills_round;score_round;win_percent;agent_1;gun1_name
Genji;Radiant;134.0;156.0;33.8;0;126;73;156.0;401.0;1.0;0.7;200.3;47.2;Sova;Vandal
Bension;Radiant;152.9;142.0;31.4;1;56;32;142.0;136.0;1.27;0.9;241.8;52.4;Chamber;Vandal
pandez;Radiant;146.3;86.0;23.5;1;73;27;86.0;192.0;1.09;0.8;215.3;52.1;Chamber;Vandal
Pythhn;Radiant;137.8;118.0;32.8;2;100;59;118.0;490.0;1.04;0.8;213.5;49.3;Fade;Vandal
Hai;Radiant;148.0;163.0;20.3;1;97;50;163.0;355.0;1.08;0.8;223.4;62.7;Raze;Vandal
lebow;Radiant;141.6;106.0;19.2;1;65;23;106.0;210.0;1.01;0.7;216.9;57.8;Jett;Phantom
krZ;Radiant;129.4;104.0;25.2;2;75;60;104.0;313.0;0.97;0.7;195.3;56.6;Raze;Vandal
po btw;Radiant;132.0;114.0;26.6;2;108;59;114.0;457.0;0.97;0.7;207.3;50.8;Fade;Vandal
FXP Uncle Jemima;Radiant;144.6;239.0;20.0;1;139;70;239.0;603.0;1.08;0.8;224.1;57.9;Fade;Vandal
BEANISAGOD;Radiant;137.3;158.0;22.6;4;176;103;158.0;999.0;1.08;0.7;206.8;53.5;Brimstone;Phantom
Divine;Radiant;137.5;98.0;27.7;2;83;52;98.0;302.0;1.06;0.7;207.4;60.7;Chamber;Phantom
mooda;Radiant;147.8;214.0;21.7;3;122;67;214.0;313.0;0.98;0.8;225.7;60.6;Reyna;Vandal
AADBI;Radiant;117.3;143.0;27.4;1;159;109;143.0;581.0;0.87;0.6;176.1;55.3;Sova;Vandal
heyAgain;Radiant;139.5;74.0;18.8;0;51;26;74.0;206.0;1.0;0.7;211.8;58.3;Chamber;Vandal
Matocky;Radiant;150.1;214.0;24.4;1;120;58;214.0;345.0;1.06;0.8;233.1;61.2;Reyna;Vandal
zylox;Radiant;137.3;232.0;24.3;2;191;119;232.0;693.0;1.03;0.8;211.6;50.4;Brimstone;Vandal
mikee;Radiant;146.6;249.0;22.9;0;146;96;249.0;385.0;1.09;0.8;221.2;64.0;Chamber;Vandal
Keyz;Radiant;154.6;311.0;29.0;2;154;105;311.0;365.0;1.15;0.8;235.9;54.7;Jett;Vandal
toelu;Radiant;133.3;98.0;18.6;0;48;51;98.0;281.0;1.04;0.7;204.5;51.0;Omen;Vandal
PelT;Radiant;137.4;205.0;27.2;1;122;98;205.0;507.0;1.01;0.7;210.1;44.2;Chamber;Vandal
Roger Rabbit;Radiant;136.5;221.0;25.6;2;139;85;221.0;361.0;1.08;0.8;211.2;53.1;Chamber;Vandal
ALPHIE;Radiant;139.7;85.0;22.5;0;40;46;85.0;172.0;1.05;0.7;213.7;56.8;Chamber;Phantom
Shiro;Radiant;147.2;174.0;29.1;1;102;69;174.0;324.0;1.07;0.8;229.7;50.0;Jett;Vandal
Lookatcurryman;Radiant;138.8;166.0;18.7;0;130;60;166.0;507.0;0.99;0.7;213.5;56.0;Omen;Vandal
ChuckTheHuman;Radiant;142.9;207.0;24.6;5;142;65;207.0;474.0;1.09;0.8;220.0;47.6;Chamber;Phantom
kim chaewon;Radiant;126.8;49.0;23.1;1;68;41;49.0;374.0;1.03;0.7;193.4;55.6;Brimstone;Vandal
Outcast;Radiant;144.5;389.0;40.3;3;304;158;389.0;941.0;1.05;0.8;215.6;51.3;Phoenix;Vandal
p1ggy;Radiant;130.2;164.0;21.5;1;129;87;164.0;645.0;0.94;0.7;195.9;61.3;KAY/O;Phantom
Precyse;Radiant;135.4;81.0;21.3;1;73;46;81.0;196.0;1.09;0.8;205.4;58.0;Chamber;Vandal
Onara;Radiant;143.8;136.0;27.4;1;83;75;136.0;281.0;1.02;0.8;217.8;52.7;Fade;Vandal
VKG Cytosine;Radiant;141.4;126.0;29.1;3;131;80;126.0;603.0;1.04;0.7;212.2;56.6;KAY/O;Vandal
slZzZzZp;Radiant;126.3;136.0;20.0;1;163;90;136.0;823.0;0.94;0.7;193.9;47.8;Fade;Vandal
Cauliflower;Radiant;132.1;114.0;23.1;0;93;61;114.0;481.0;1.0;0.7;204.6;63.1;Fade;Vandal
zL Migstur;Radiant;121.3;83.0;23.7;0;73;57;83.0;212.0;0.93;0.7;187.2;52.2;Chamber;Vandal
BNIPERBIOS;Radiant;134.0;79.0;25.1;2;86;61;79.0;395.0;1.0;0.7;199.2;46.8;Sova;Phantom
Toarklet;Radiant;143.4;388.0;19.2;1;212;98;388.0;767.0;1.01;0.8;223.7;46.6;Chamber;Phantom
Zhnky;Radiant;139.8;284.0;21.8;3;167;124;284.0;527.0;1.01;0.8;216.4;45.6;Jett;Vandal
ChamberMain2;Radiant;150.0;317.0;26.3;6;122;75;317.0;246.0;1.29;0.9;244.0;59.1;Chamber;Judge
Kuronez;Radiant;137.2;107.0;25.1;0;73;53;107.0;171.0;1.05;0.8;214.3;68.3;Chamber;Vandal
God;Radiant;142.3;195.0;15.4;2;96;41;195.0;186.0;1.05;0.8;229.1;63.0;Jett;Vandal
WANJI;Radiant;157.3;319.0;27.3;5;152;86;319.0;382.0;1.14;0.8;245.1;58.1;Jett;Vandal
dizz II;Radiant;125.5;233.0;27.1;2;204;120;233.0;613.0;0.99;0.7;194.7;50.8;Chamber;Vandal
TLins;Radiant;122.2;145.0;21.2;2;107;67;145.0;391.0;0.98;0.7;185.8;56.0;Chamber;Vandal
oniso;Radiant;150.2;206.0;19.2;1;141;91;206.0;646.0;1.19;0.8;228.8;48.7;Chamber;Phantom
SK wrld;Radiant;139.6;140.0;28.8;1;88;47;140.0;218.0;1.03;0.8;213.4;52.8;Jett;Vandal
am1nex;Radiant;144.7;89.0;27.1;0;74;33;89.0;124.0;1.16;0.8;216.7;68.3;Chamber;Vandal
OPT bambam;Radiant;137.8;96.0;24.3;1;58;40;96.0;255.0;1.08;0.8;208.7;64.6;Jett;Phantom
Lee;Radiant;149.5;285.0;21.8;3;160;91;285.0;578.0;1.13;0.8;230.5;62.0;Chamber;Vandal
LD Ayden;Radiant;132.8;164.0;29.1;1;114;97;164.0;464.0;1.07;0.7;204.9;58.8;Fade;Vandal
i am mars;Radiant;138.0;238.0;15.8;0;192;123;238.0;1.012;1.03;0.7;209.7;49.0;Sova;Vandal
reach;Radiant;133.6;135.0;25.8;1;97;45;135.0;286.0;0.96;0.7;205.8;59.3;Jett;Vandal
RussellPeek;Radiant;168.1;128.0;26.7;1;63;37;128.0;159.0;1.17;0.9;253.7;54.5;Reyna;Vandal
Manraj;Radiant;133.5;58.0;23.9;0;47;50;58.0;298.0;1.14;0.8;210.2;61.7;Sage;Vandal
uzi;Radiant;143.2;342.0;27.9;4;212;117;342.0;468.0;1.03;0.8;218.8;57.8;Jett;Vandal
march;Radiant;126.6;131.0;25.4;1;120;59;131.0;461.0;0.89;0.7;192.0;56.2;Fade;Phantom
flapjac5K;Radiant;143.1;77.0;15.9;1;77;43;77.0;454.0;1.06;0.7;219.8;60.0;Viper;Phantom
smLelel;Radiant;144.1;90.0;28.0;3;47;37;90.0;220.0;1.05;0.8;221.1;53.9;KAY/O;Vandal
zion throws;Radiant;141.8;67.0;27.6;1;51;32;67.0;210.0;1.08;0.8;219.8;63.6;Fade;Vandal
Mandark;Radiant;160.1;233.0;18.4;0;98;56;233.0;312.0;1.2;0.9;249.3;46.6;Jett;Operator
KickZ;Radiant;134.6;114.0;19.6;1;78;31;114.0;213.0;1.01;0.7;210.4;51.0;Jett;Vandal
eugene;Radiant;151.3;161.0;32.8;2;91;56;161.0;245.0;1.09;0.8;228.7;51.5;Jett;Vandal
Bapoonxd;Radiant;136.5;102.0;23.4;0;56;33;102.0;242.0;0.95;0.7;206.0;53.7;Chamber;Phantom
OILYCHICKENHAT79;Radiant;150.5;455.0;25.7;7;276;113;455.0;776.0;1.01;0.8;230.3;56.2;Yoru;Vandal
lebroon jahames;Radiant;152.6;134.0;29.8;3;57;23;134.0;164.0;1.09;0.8;232.4;60.0;Reyna;Vandal
STR sinon;Radiant;141.0;203.0;25.2;3;146;74;203.0;547.0;1.08;0.8;216.2;64.3;Fade;Vandal
perpli;Radiant;156.4;128.0;24.5;1;87;57;128.0;423.0;1.29;0.9;243.4;63.1;Sova;Vandal
Yosobro;Radiant;149.7;215.0;24.2;5;130;92;215.0;631.0;1.08;0.8;229.4;54.2;Fade;Vandal
Mai;Radiant;142.0;246.0;25.3;3;131;69;246.0;378.0;0.99;0.8;220.3;54.3;Jett;Vandal
snaps;Radiant;132.2;101.0;22.0;0;84;47;101.0;369.0;0.92;0.7;201.0;55.2;Fade;Vandal
FaZeBoOgEr9000;Radiant;145.1;160.0;25.0;1;115;53;160.0;337.0;1.09;0.8;220.2;60.6;Chamber;Vandal
bobafett3314;Radiant;137.7;89.0;26.9;1;73;41;89.0;306.0;1.01;0.7;207.8;54.5;Omen;Vandal
lexii;Radiant;133.6;203.0;32.0;1;151;83;203.0;417.0;0.96;0.7;202.8;55.4;Reyna;Vandal
Benevolence;Radiant;150.2;681.0;20.6;4;253;155;681.0;569.0;1.09;0.8;244.2;51.2;Jett;Phantom
Folgster;Radiant;135.4;115.0;31.4;0;95;70;115.0;427.0;1.05;0.7;203.9;54.4;Astra;Vandal
Apple;Radiant;146.7;120.0;20.2;0;93;34;120.0;332.0;1.02;0.8;220.5;58.9;Chamber;Vandal
tesaw;Radiant;132.2;133.0;25.6;0;102;62;133.0;469.0;1.0;0.7;197.4;52.9;Sova;Vandal
Natra;Radiant;137.8;181.0;21.6;1;115;79;181.0;309.0;1.09;0.8;208.9;47.7;Chamber;Vandal
Fatal Error;Radiant;140.9;79.0;23.3;1;81;55;79.0;293.0;1.04;0.7;209.8;53.7;Sova;Vandal
TÃ½r;Radiant;154.0;112.0;16.6;2;98;46;112.0;468.0;1.08;0.8;234.5;49.2;Fade;Vandal
Dranden;Radiant;156.9;243.0;24.5;1;161;95;243.0;486.0;1.12;0.8;239.3;47.5;Reyna;Vandal
EMP Swordfeesh;Radiant;162.6;252.0;31.4;6;99;55;252.0;191.0;1.11;0.9;248.8;55.6;Reyna;Vandal
Ben;Radiant;141.7;35.0;21.6;0;55;42;35.0;328.0;1.15;0.7;212.7;56.4;Brimstone;Phantom
Trunler;Radiant;151.8;178.0;16.9;0;125;89;178.0;533.0;1.2;0.8;234.8;50.5;Chamber;Vandal
Aster;Radiant;125.0;50.0;18.7;0;51;31;50.0;272.0;0.92;0.7;188.8;62.2;Sova;Phantom
head toucher ttv;Radiant;150.3;107.0;21.6;1;75;46;107.0;262.0;1.11;0.8;234.7;54.0;Yoru;Phantom
Smelly Vaj;Radiant;138.8;341.0;21.5;3;242;139;341.0;882.0;0.98;0.7;211.9;51.6;Jett;Phantom
Koebra;Radiant;117.6;107.0;25.2;0;141;67;107.0;511.0;0.89;0.6;179.7;52.3;Sova;Vandal
doi;Radiant;146.1;173.0;28.6;2;126;67;173.0;248.0;1.08;0.8;225.4;55.2;Jett;Vandal
boogers;Radiant;122.7;129.0;27.3;0;109;92;129.0;495.0;0.98;0.7;188.6;54.9;Fade;Vandal
LGN Hyperz;Radiant;142.6;113.0;23.2;0;88;61;113.0;297.0;1.0;0.7;216.9;52.5;Chamber;Vandal
firaga;Radiant;148.7;184.0;23.8;0;111;59;184.0;254.0;1.11;0.8;227.6;67.2;Chamber;Vandal
adobo;Radiant;145.4;177.0;21.4;5;122;87;177.0;474.0;1.14;0.8;223.5;49.5;Chamber;Vandal
VanSyh;Radiant;129.2;121.0;23.7;1;135;81;121.0;542.0;0.92;0.7;195.0;62.2;Viper;Phantom
Steady;Radiant;139.9;99.0;22.1;1;88;57;99.0;309.0;1.08;0.8;214.9;50.0;Reyna;Vandal
jlum II;Radiant;146.4;135.0;43.1;1;90;56;135.0;224.0;1.11;0.8;216.0;50.8;Chamber;Vandal
Sans0P;Radiant;148.3;140.0;19.8;2;82;48;140.0;281.0;1.2;0.8;229.3;63.0;Chamber;Vandal
CLG symetrical;Radiant;130.0;249.0;21.3;4;220;140;249.0;958.0;1.02;0.7;200.3;44.1;Chamber;Vandal
Proceed;Radiant;144.0;147.0;17.8;2;128;54;147.0;410.0;1.01;0.8;221.1;60.6;Raze;Vandal
heartbroken;Radiant;144.4;178.0;26.6;1;147;73;178.0;399.0;1.03;0.8;216.9;55.4;Jett;Vandal
jas;Radiant;144.3;151.0;24.6;2;106;50;151.0;329.0;1.02;0.8;219.9;53.1;Reyna;Vandal
ItsCuurt;Radiant;142.5;280.0;19.3;1;218;102;280.0;806.0;0.96;0.7;209.5;52.9;Raze;Vandal
Haiki;Radiant;152.5;135.0;20.9;2;69;38;135.0;328.0;1.11;0.8;232.3;59.2;Jett;Phantom
MOB;Radiant;129.2;181.0;22.2;0;157;63;181.0;703.0;0.91;0.7;197.4;51.5;Omen;Vandal
SavageKid;Radiant;137.6;218.0;16.5;1;151;71;218.0;370.0;0.92;0.7;209.2;57.6;Raze;Vandal
Curry;Radiant;131.9;140.0;14.1;1;109;55;140.0;459.0;0.95;0.7;210.0;56.5;Fade;Vandal
Lijee;Radiant;138.4;191.0;19.3;2;148;47;191.0;409.0;0.9;0.7;214.5;58.0;Raze;Phantom
ASP lofi;Radiant;141.2;215.0;23.6;3;136;77;215.0;461.0;1.08;0.8;218.4;60.7;Jett;Vandal
penguin;Radiant;159.3;72.0;25.0;0;54;43;72.0;242.0;1.22;0.8;239.6;59.5;Raze;Vandal
vvak;Radiant;129.8;98.0;27.3;0;75;74;98.0;476.0;1.08;0.7;198.4;58.5;Fade;Vandal
Lemon;Radiant;145.4;96.0;22.1;0;52;49;96.0;259.0;1.09;0.8;222.0;63.4;Omen;Phantom
TheresNoOneAtAll;Radiant;158.2;150.0;27.4;0;85;46;150.0;454.0;1.1;0.8;240.8;53.1;Fade;Vandal
phi;Radiant;146.3;251.0;21.7;2;159;76;251.0;606.0;0.99;0.8;223.3;48.0;Fade;Vandal
600;Radiant;177.7;141.0;30.6;1;61;36;141.0;98.0;1.38;1.0;278.9;57.9;Chamber;Vandal
xmj;Radiant;143.6;258.0;20.9;3;160;85;258.0;609.0;1.03;0.8;220.4;52.3;Chamber;Vandal
Bryz;Radiant;133.5;111.0;25.4;2;99;58;111.0;556.0;1.02;0.7;201.5;52.0;Brimstone;Vandal
Gusher;Radiant;142.4;139.0;27.9;1;66;33;139.0;170.0;1.07;0.8;219.3;56.8;Jett;Vandal
lilCarbohydrate;Radiant;139.7;184.0;24.5;1;138;82;184.0;702.0;1.07;0.7;214.4;55.0;Astra;Vandal
Frase;Radiant;149.2;172.0;23.5;3;73;36;172.0;152.0;1.12;0.8;235.5;53.6;Jett;Vandal
I Hate Myself;Radiant;127.0;74.0;17.5;2;77;46;74.0;364.0;0.94;0.7;200.0;51.0;Fade;Phantom
TTVBoomstick2k;Radiant;146.4;266.0;30.0;6;147;105;266.0;365.0;1.2;0.8;223.0;58.1;Chamber;Vandal
meow;Radiant;141.5;132.0;23.1;1;139;81;132.0;570.0;1.07;0.8;213.8;63.5;Chamber;Vandal
ericappleson;Radiant;133.3;159.0;17.5;2;129;107;159.0;709.0;1.08;0.7;211.4;51.0;Omen;Vandal
Shorty God;Radiant;112.8;302.0;9.3;3;198;91;302.0;831.0;0.9;0.7;194.7;51.1;Omen;Judge
Nepgear2;Radiant;155.9;243.0;21.9;1;88;44;243.0;257.0;1.09;0.8;243.7;47.8;Jett;Vandal
Dunamis;Radiant;136.6;178.0;16.4;0;122;75;178.0;479.0;1.13;0.8;211.9;52.9;Chamber;Vandal
FoolishFriar;Radiant;122.5;68.0;21.0;0;72;52;68.0;251.0;0.85;0.6;178.9;65.8;Brimstone;Vandal
OPSD Matt;Radiant;142.4;200.0;24.7;2;147;45;200.0;429.0;0.96;0.8;218.8;52.6;Jett;Vandal
fhegg;Radiant;150.2;356.0;27.6;3;171;109;356.0;482.0;1.12;0.8;227.2;51.5;Jett;Vandal
sovr;Radiant;151.1;227.0;21.4;4;134;54;227.0;381.0;1.0;0.8;226.2;56.8;Reyna;Vandal
respectful boy;Radiant;145.6;77.0;24.7;2;70;47;77.0;444.0;1.11;0.8;221.2;49.1;Brimstone;Vandal
Aipha;Radiant;135.1;207.0;24.9;1;140;62;207.0;494.0;0.9;0.7;207.4;44.0;Skye;Phantom
ricky;Radiant;149.2;161.0;28.0;1;113;59;161.0;354.0;1.12;0.8;221.8;56.0;Jett;Vandal
Agr0;Radiant;159.0;298.0;28.5;7;158;81;298.0;523.0;1.05;0.8;242.1;51.9;Raze;Vandal
Seiko;Radiant;166.2;204.0;25.5;2;122;52;204.0;213.0;1.11;0.9;255.4;60.0;Jett;Phantom
Kanye NFT;Radiant;137.3;81.0;23.3;1;54;37;81.0;344.0;1.04;0.7;213.3;53.7;Brimstone;Vandal
wÂºmbat;Radiant;142.2;120.0;18.7;1;96;64;120.0;501.0;1.01;0.7;218.2;57.8;Fade;Phantom
Simplehy;Radiant;139.6;326.0;23.1;3;223;144;326.0;773.0;1.05;0.7;212.4;46.4;Raze;Vandal
raq;Radiant;133.7;222.0;22.7;2;129;66;222.0;455.0;0.99;0.7;205.4;53.9;Chamber;Phantom
w0S;Radiant;169.3;121.0;23.9;3;52;31;121.0;135.0;1.31;0.9;264.6;65.6;Reyna;Vandal
no comm shyste;Radiant;138.5;149.0;18.3;3;102;47;149.0;415.0;1.0;0.7;209.7;50.7;Chamber;Vandal
GuardGroot;Radiant;151.6;170.0;27.7;4;96;51;170.0;246.0;1.14;0.8;235.7;57.4;Chamber;Vandal
Reap;Radiant;143.3;136.0;20.8;1;103;63;136.0;504.0;1.05;0.8;220.4;58.0;Fade;Vandal
FemboyFishingFan;Radiant;151.6;148.0;22.4;3;120;85;148.0;507.0;1.24;0.8;226.4;53.8;Chamber;Phantom
ãƒ‘ãƒˆãƒ­ã‚¯ãƒ­ã‚¹;Radiant;128.8;84.0;19.1;1;62;40;84.0;322.0;0.93;0.7;197.0;59.2;KAY/O;Phantom
Efficiency V;Radiant;123.2;107.0;19.7;0;81;57;107.0;378.0;0.95;0.7;191.9;54.0;Breach;Vandal
